Date,Hr_End,DA_Demand,Dry_Bulb
25/01/2021,4,12278.3,17
25/01/2021,5,12300.8,17
25/01/2021,6,13014.9,17
25/01/2021,7,14295.0,17
25/01/2021,8,15433.9,17
25/01/2021,9,15211.8,18
25/01/2021,10,14305.7,21
25/01/2021,11,14025.5,25
25/01/2021,12,13914.9,28
25/01/2021,13,13714.5,30
25/01/2021,14,13672.7,33
25/01/2021,15,13932.9,35
25/01/2021,16,14304.6,34
25/01/2021,17,15576.3,33
25/01/2021,18,16635.1,30
25/01/2021,19,16530.3,29
25/01/2021,20,15863.3,28
25/01/2021,21,15153.0,28
25/01/2021,22,14054.1,27
25/01/2021,23,12963.7,26
25/01/2021,24,12364.0,25
26/01/2021,1,12415.2,25
26/01/2021,2,12281.3,25
26/01/2021,3,12114.7,25
26/01/2021,4,12215.3,24
26/01/2021,5,12388.8,23
26/01/2021,6,12823.2,23
26/01/2021,7,14097.0,23
26/01/2021,8,15267.2,22
26/01/2021,9,15317.3,23
26/01/2021,10,15303.9,26
26/01/2021,11,15354.9,29
26/01/2021,12,15221.3,30
26/01/2021,13,15277.0,31
26/01/2021,14,15300.2,31
26/01/2021,15,15222.3,31
26/01/2021,16,15476.2,30
26/01/2021,17,16129.6,29
26/01/2021,18,17065.4,29
26/01/2021,19,16579.2,29
26/01/2021,20,15908.6,28
26/01/2021,21,15205.9,28
26/01/2021,22,13991.9,28
26/01/2021,23,12696.1,28
26/01/2021,24,12237.5,28
27/01/2021,1,11851.6,28
27/01/2021,2,11673.4,28
27/01/2021,3,11831.5,28
27/01/2021,4,11741.9,28
27/01/2021,5,11666.3,28
27/01/2021,6,12032.9,28
27/01/2021,7,13404.0,28
27/01/2021,8,14535.9,28
27/01/2021,9,14941.6,28
27/01/2021,10,15038.5,29
27/01/2021,11,15167.4,30
27/01/2021,12,15181.5,31
27/01/2021,13,15096.6,32
27/01/2021,14,15035.5,33
27/01/2021,15,15002.3,34
27/01/2021,16,15053.7,34
27/01/2021,17,15920.4,34
27/01/2021,18,16618.4,33
27/01/2021,19,16179.7,33
27/01/2021,20,15617.3,32
